date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:18:51	55304/55304	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jan%202024%2006:48:50%20GMT	https://www.tirupurexpress.com/listing/cjwater-solutions	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/listing/cjwater-solutions.html	(from https://www.tirupurexpress.com/)
12:18:51	189219/189219	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Apr%202022%2013:44:13%20GMT	https://www.tirupurexpress.com/public/uploads/listing_banner_photos/26abfcff6ef6f58593a2b41b9df96785.jpg	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/uploads/listing_banner_photos/26abfcff6ef6f58593a2b41b9df96785.jpg	(from https://www.tirupurexpress.com/)
12:18:52	49771/49771	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jan%202024%2006:48:51%20GMT	https://www.tirupurexpress.com/listing/vee-arr-polymarbles	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/listing/vee-arr-polymarbles.html	(from https://www.tirupurexpress.com/)
12:18:53	286019/286019	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Apr%202022%2013:47:12%20GMT	https://www.tirupurexpress.com/public/uploads/listing_banner_photos/1d7ef795bbee52b5653335e538a4c78d.jpg	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/uploads/listing_banner_photos/1d7ef795bbee52b5653335e538a4c78d.jpg	(from https://www.tirupurexpress.com/)
12:18:53	201095/201095	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Apr%202022%2013:30:40%20GMT	https://www.tirupurexpress.com/public/uploads/listing_banner_photos/ebbbf15e015ace032cf3efc1a8d6609c.jpg	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/uploads/listing_banner_photos/ebbbf15e015ace032cf3efc1a8d6609c.jpg	(from https://www.tirupurexpress.com/)
12:18:53	38916/38916	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jan%202024%2006:48:53%20GMT	https://www.tirupurexpress.com/listing/CloudTechComputers	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/listing/CloudTechComputers.html	(from https://www.tirupurexpress.com/)
12:18:54	184595/184595	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Apr%202022%2014:21:07%20GMT	https://www.tirupurexpress.com/public/uploads/listing_banner_photos/dca0a0f7145012a993ecbfc4147372cf.jpg	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/uploads/listing_banner_photos/dca0a0f7145012a993ecbfc4147372cf.jpg	(from https://www.tirupurexpress.com/)
12:18:55	367/367	---MC-	302	error ('Found')	text/html	date:Wed,%2031%20Jan%202024%2006:48:55%20GMT	https://www.tirupurexpress.com/customer/wishlist/add/4582	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/customer/wishlist/add/4582	(from https://www.tirupurexpress.com/)
12:18:56	1134364/1134364	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20Apr%202022%2011:27:47%20GMT	https://www.tirupurexpress.com/public/uploads/listing_featured_photos/784074193ebcaca686d01a45cf0adeb5.jpg	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/uploads/listing_featured_photos/784074193ebcaca686d01a45cf0adeb5.jpg	(from https://www.tirupurexpress.com/)
12:18:56	73957/73957	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Apr%202022%2005:34:24%20GMT	https://www.tirupurexpress.com/public/uploads/listing_featured_photos/d8d001e83027eb73adad4dd4fa9581c1.jpg	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/uploads/listing_featured_photos/d8d001e83027eb73adad4dd4fa9581c1.jpg	(from https://www.tirupurexpress.com/)
